Well,590
A1,0.047
A2,2.833
A3,0.285
A4,0.461
A5,0.046
A6,2.224
A7,0.32
A8,0.275
A9,0.044
A10,2.199
A11,0.327
A12,0.271
B1,0.311
B2,0.328
B3,1.737
B4,2.121
B5,0.279
B6,0.528
B7,0.284
B8,0.612
B9,0.329
B10,0.311
B11,1.629
B12,0.436
C1,0.286
C2,0.302
C3,0.32
C4,0.319
C5,0.37
C6,0.337
C7,0.387
C8,0.312
C9,0.317
C10,0.303
C11,0.304
C12,0.246
D1,0.369
D2,0.89
D3,0.5
D4,0.34
D5,0.247
D6,1.342
D7,0.432
D8,0.406
D9,0.163
D10,1.243
D11,0.316
D12,1.502
E1,0.554
E2,0.302
E3,0.335
E4,0.453
E5,0.346
E6,2.071
E7,0.309
E8,0.399
E9,0.545
E10,0.51
E11,0.337
E12,0.246
F1,0.298
F2,0.328
F3,0.303
F4,0.305
F5,2.014
F6,0.301
F7,0.377
F8,0.349
F9,1.22
F10,0.415
F11,0.267
F12,0.784
G1,0.307
G2,1.868
G3,0.332
G4,0.171
G5,0.47
G6,0.252
G7,0.238
G8,0.183
G9,0.264
G10,0.277
G11,0.266
G12,0.281
H1,0.439
H2,0.429
H3,0.57
H4,0.315
H5,0.29
H6,2.422
H7,0.289
H8,0.421
H9,0.269
H10,0.253
H11,0.405
H12,0.307
