Well,590
A1,0.898
A2,1.026
A3,1.732
A4,0.423
A5,0.52
A6,1.083
A7,0.41
A8,0.37
A9,0.539
A10,0.837
A11,0.401
A12,0.316
B1,0.592
B2,0.368
B3,0.421
B4,0.335
B5,1.008
B6,0.383
B7,0.398
B8,0.339
B9,0.76
B10,0.388
B11,0.371
B12,0.446
C1,0.435
C2,0.333
C3,0.361
C4,0.381
C5,0.462
C6,0.328
C7,0.375
C8,0.332
C9,0.486
C10,0.332
C11,0.378
C12,0.324
D1,0.271
D2,1.549
D3,0.331
D4,0.331
D5,0.67
D6,1.475
D7,0.336
D8,0.32
D9,0.267
D10,1.431
D11,0.354
D12,0.361
E1,1.529
E2,0.707
E3,0.331
E4,0.384
E5,1.395
E6,1.135
E7,0.331
E8,0.352
E9,1.974
E10,0.688
E11,0.321
E12,0.325
F1,0.779
F2,0.377
F3,0.288
F4,0.317
F5,0.951
F6,0.477
F7,0.305
F8,0.452
F9,0.897
F10,0.525
F11,0.275
F12,0.334
G1,0.953
G2,0.694
G3,0.364
G4,0.363
G5,1.112
G6,0.589
G7,0.362
G8,0.348
G9,1.2
G10,0.683
G11,0.369
G12,0.351
H1,0.55
H2,0.338
H3,0.293
H4,0.322
H5,0.648
H6,0.327
H7,0.296
H8,0.348
H9,0.937
H10,0.372
H11,0.302
H12,0.319
