Well,590
A1,0.047
A2,2.438
A3,0.293
A4,0.317
A5,0.047
A6,1.319
A7,0.328
A8,0.284
A9,0.044
A10,1.733
A11,0.317
A12,0.262
B1,0.316
B2,0.325
B3,1.648
B4,1.562
B5,0.288
B6,0.357
B7,0.291
B8,0.396
B9,0.327
B10,0.321
B11,1.606
B12,0.347
C1,0.311
C2,0.312
C3,0.325
C4,0.326
C5,0.372
C6,0.331
C7,0.379
C8,0.318
C9,0.321
C10,0.305
C11,0.314
C12,0.253
D1,0.34
D2,0.875
D3,0.457
D4,0.317
D5,0.241
D6,1.334
D7,0.375
D8,0.412
D9,0.164
D10,1.27
D11,0.313
D12,0.862
E1,0.582
E2,0.309
E3,0.32
E4,0.355
E5,0.328
E6,2.053
E7,0.319
E8,0.337
E9,0.373
E10,0.395
E11,0.347
E12,0.254
F1,0.305
F2,0.332
F3,0.317
F4,0.309
F5,1.874
F6,0.296
F7,0.372
F8,0.35
F9,0.463
F10,0.347
F11,0.303
F12,0.453
G1,0.291
G2,1.627
G3,0.328
G4,0.176
G5,0.473
G6,0.265
G7,0.244
G8,0.187
G9,0.268
G10,0.284
G11,0.278
G12,0.292
H1,0.34
H2,0.342
H3,0.419
H4,0.31
H5,0.279
H6,1.614
H7,0.291
H8,0.399
H9,0.27
H10,0.26
H11,0.332
H12,0.279
