Well,590
A1,0.043
A2,0.183
A3,0.17
A4,0.168
A5,0.041
A6,0.168
A7,0.147
A8,0.155
A9,0.042
A10,0.152
A11,0.168
A12,0.149
B1,0.187
B2,0.264
B3,0.163
B4,0.153
B5,0.153
B6,0.258
B7,0.156
B8,0.149
B9,0.147
B10,0.309
B11,0.178
B12,0.174
C1,0.192
C2,0.149
C3,0.154
C4,0.157
C5,0.293
C6,0.155
C7,0.154
C8,0.153
C9,0.283
C10,0.184
C11,0.197
C12,0.184
D1,0.129
D2,0.154
D3,0.147
D4,0.165
D5,0.131
D6,0.152
D7,0.165
D8,0.148
D9,0.14
D10,0.245
D11,0.201
D12,0.194
E1,0.37
E2,0.293
E3,0.151
E4,0.147
E5,0.156
E6,0.212
E7,0.195
E8,0.159
E9,1.634
E10,0.361
E11,0.226
E12,0.216
F1,0.213
F2,0.152
F3,0.158
F4,0.147
F5,0.149
F6,0.156
F7,0.144
F8,0.15
F9,0.299
F10,0.213
F11,0.2
F12,0.2
G1,0.155
G2,0.167
G3,0.145
G4,0.149
G5,0.35
G6,0.217
G7,0.147
G8,0.154
G9,0.219
G10,0.27
G11,0.206
G12,0.205
H1,0.394
H2,0.148
H3,0.155
H4,0.145
H5,0.147
H6,0.147
H7,0.149
H8,0.142
H9,0.343
H10,0.195
H11,0.192
H12,0.179
