rowID,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.797,2.044,0.246,0.043,0.477,1.79,0.247,0.042,0.51,1.917,0.201
B,1.602,0.178,2.689,0.138,1.868,0.808,2.681,2.35,2.364,0.172,0.137,1.793
C,0.284,0.259,0.182,0.259,0.209,0.166,0.224,0.159,0.199,0.148,0.153,0.146
D,0.139,1.188,0.168,2.3,0.642,1.345,0.47,1.908,0.131,1.271,0.171,1.515
E,0.153,0.18,0.469,0.281,2.365,2.287,0.335,0.177,0.256,0.244,0.131,0.603
F,0.683,0.213,0.357,0.174,2.729,0.137,0.179,1.463,2.531,0.134,0.173,0.128
G,1.202,2.033,0.182,0.135,1.424,2.126,0.121,0.128,1.522,1.963,0.126,0.175
H,0.255,1.158,0.124,0.12,0.168,1.053,0.101,0.174,1.587,1.017,0.178,0.382
